name,pos,team,bye,tier,projected$,vbd,aav
"Carnell Tate",WR,TEN,9,WR6,3.42,9.77,3.7
"Tyler Shough",QB,NO,8,QB3,3.41,9.74,1.2
"Jayden Reed",WR,GB,11,WR6,3.37,9.61,1.1
"Michael Wilson",WR,ARI,14,WR6,3.18,9.08,1.8
"Juwan Johnson",TE,NO,8,TE5,3.12,8.89,1
"Quentin Johnston",WR,LAC,7,WR6,3.08,8.8,1.3
"Baker Mayfield",QB,TB,10,QB3,2.86,8.15,1.1
"Jakobi Meyers",WR,JAC,7,WR6,2.83,8.07,1.2
"Brenton Strange",TE,JAC,7,TE5,2.79,7.94,1
"Chris Godwin Jr.",WR,TB,10,WR6,2.74,7.82,1.7
"Jordan Addison",WR,MIN,6,WR6,2.7,7.7,1.1
"Justice Hill",RB,BAL,13,RB8,2.66,7.58,1
"Wan'Dale Robinson",WR,TEN,9,WR6,2.31,6.58,1.1
"Xavier Worthy",WR,KC,5,WR6,2.29,6.53,1
"De'Zhaun Stribling",WR,SF,8,WR6,2.13,6.09,1
"Matthew Golden",WR,GB,11,WR6,1.96,5.59,1.4
"Alvin Kamara",RB,NO,8,RB8,1.9,5.42,1.3
"Dalton Schultz",TE,HOU,8,TE5,1.78,5.09,1.2
"Chris Rodriguez Jr.",RB,JAC,7,RB8,1.73,4.94,1.2
"Jordan Love",QB,GB,11,QB3,1.69,4.83,1.2
"Romeo Doubs",WR,NE,11,WR7,1.63,4.66,1.2
"Dylan Sampson",RB,CLE,11,RB8,1.59,4.52,1
"Mike Washington Jr.",RB,LV,13,RB8,1.57,4.46,0
"Stefon Diggs",WR,WAS,7,WR7,1.52,4.34,1.1
"Deebo Samuel Sr.",WR,SF,8,WR7,1.49,4.25,1
"AJ Dillon",RB,CAR,5,RB8,1.31,3.73,0
"Daniel Jones",QB,IND,13,QB3,1.24,3.54,1
"KC Concepcion",WR,CLE,11,WR7,1.18,3.38,1.3
"Braelon Allen",RB,NYJ,13,RB8,1.12,3.19,1
"Rashid Shaheed",WR,SEA,11,WR7,1.04,2.96,1.1
"Brandon Aubrey",K,DAL,14,K1,1,19.4,4.9
"Jason Myers",K,SEA,11,K5,1,18.4,1.3
"Ka'imi Fairbairn",K,HOU,8,K2,1,12.5,1.7
"Cameron Dicker",K,LAC,7,K3,1,10.7,1.5
"Harrison Mevis",K,LAR,11,K1,1,4.8,1.5
"Jake Bates",K,DET,6,K8,1,4,1.3
"Spencer Shrader",K,IND,13,K1,1,3.2,0
"Cairo Santos",K,CHI,10,K1,1,1.3,1
"Chase McLaughlin",K,TB,10,K10,1,0.9,1.4
"Eddy Pineiro",K,SF,8,K6,1,0.1,1.1
"Cam Little",K,JAC,7,K4,1,0,1.6
"Tyler Loop",K,BAL,13,K7,1,0,1.1
"Houston Texans",DEF,HOU,8,DST1,1,0,1
"Denver Broncos",DEF,DEN,10,DST3,1,0,1
"Minnesota Vikings",DEF,MIN,6,DST7,1,0,1
"Pittsburgh Steelers",DEF,PIT,9,DST8,1,0,1
"Seattle Seahawks",DEF,SEA,11,DST4,1,0,1
"Los Angeles Rams",DEF,LAR,11,DST2,1,0,0
"Los Angeles Chargers",DEF,LAC,7,DST10,1,0,1
"Buffalo Bills",DEF,BUF,7,DEF2,1,0,1
"Detroit Lions",DEF,DET,6,DEF2,1,0,1
"Atlanta Falcons",DEF,ATL,11,DEF2,1,0,1
"Philadelphia Eagles",DEF,PHI,10,DST5,1,0,1
"Baltimore Ravens",DEF,BAL,13,DEF2,1,0,1
"Malik Willis",QB,MIA,6,QB3,0.99,2.84,1.1
"Samaje Perine",RB,CIN,6,RB8,0.72,2.05,1
"Khalil Shakir",WR,BUF,7,WR7,0.62,1.77,1.1
"T.J. Hockenson",TE,MIN,6,TE6,0.58,1.66,1.2
"Josh Downs",WR,IND,13,WR7,0.47,1.36,1.2
"Pat Freiermuth",TE,PIT,9,TE6,0.39,1.11,1.3
"Jalen Coker",WR,CAR,5,WR7,0.16,0.44,1.1
"Greg Dulcich",TE,MIA,6,TE6,0.12,0.34,1
"Ty Johnson",RB,BUF,7,RB8,0.02,0.06,1
"Kaelon Black",RB,SF,8,RB8,0.02,0.05,1
"Tyler Allgeier",RB,ARI,14,RB8,0,0,1.1
"Jerry Jeudy",WR,CLE,11,WR7,0,0,1
"Kenyon Sadiq",TE,NYJ,13,TE6,0,0,1
"Sam Darnold",QB,SEA,11,QB3,0,0,1.3
"Cleveland Browns",DEF,CLE,11,DEF2,0,0,1
"Chicago Bears",DEF,CHI,10,DEF2,0,0,1
"Jacksonville Jaguars",DEF,JAC,7,DST9,0,0,1
"New Orleans Saints",DEF,NO,8,DEF2,0,0,1
"New England Patriots",DEF,NE,11,DST6,0,0,1
"Cincinnati Bengals",DEF,CIN,6,DEF2,0,0,1
"Tampa Bay Buccaneers",DEF,TB,10,DEF2,0,0,1
"Tennessee Titans",DEF,TEN,9,DEF2,0,0,1
"Green Bay Packers",DEF,GB,11,DEF3,0,0,1
"Indianapolis Colts",DEF,IND,13,DEF3,0,0,1
"Washington Commanders",DEF,WAS,7,DEF3,0,0,1
"Kansas City Chiefs",DEF,KC,5,DEF3,0,0,1
"Dallas Cowboys",DEF,DAL,14,DEF3,0,0,1
"New York Giants",DEF,NYG,8,DEF3,0,0,0
"Miami Dolphins",DEF,MIA,6,DEF3,0,0,0
"Las Vegas Raiders",DEF,LV,13,DEF3,0,0,1
"Arizona Cardinals",DEF,ARI,14,DEF3,0,0,0
"San Francisco 49ers",DEF,SF,8,DEF3,0,0,1
"Carolina Panthers",DEF,CAR,5,DEF3,0,0,0
"New York Jets",DEF,NYJ,13,DEF3,0,0,0
"Harrison Butker",K,KC,5,K1,0,-0.1,1
"Will Reichard",K,MIN,6,K1,0,-1.2,1.4
"Evan McPherson",K,CIN,6,K9,0,-3.4,1.1
"Wil Lutz",K,DEN,10,K1,0,-3.5,1
"Trey Smack",K,GB,11,K1,0,-5,1
"Tyler Bass",K,BUF,7,K2,0,-8.3,1
"Daniel Carlson",K,NO,8,K2,0,-10.5,0
"Nick Folk",K,ATL,11,K2,0,-10.9,1
"Andy Borregales",K,NE,11,K2,0,-12.5,1
"Jake Elliott",K,PHI,10,K2,0,-12.7,1
"Chris Boswell",K,PIT,9,K2,0,-13.7,1.2
"Drew Stevens",K,WAS,7,K2,0,-15.3,0
"Riley Patterson",K,MIA,6,K2,0,-17.7,0
"Joey Slye",K,TEN,9,K2,0,-18.1,0
